date,carbune,consum,hidro,hidrocarburi,nuclear,eolian,productie,fotovolt,biomasa,sold
2024-09-01 21:58:34,783,6006,1394,1069,1327,165,4785,-1,47,1220
2024-09-01 18:59:25,855,5720,1362,1029,1330,232,4949,92,47,770
2024-09-01 16:31:36,715,4989,871,933,1326,399,4773,478,47,216
2024-09-01 13:59:47,708,4440,593,734,1326,527,4779,844,44,-338
2024-09-01 11:29:33,713,4429,560,676,1322,571,4679,789,45,-250
2024-09-01 09:00:25,797,4774,772,786,1327,688,4725,307,46,48
2024-09-01 06:29:26,872,4701,963,810,1326,748,4765,-3,48,-63
2024-09-01 03:59:30,818,4683,936,1058,1325,633,4817,-3,48,-134
2024-09-01 01:30:43,840,4965,993,1069,1326,604,4877,-3,47,87
2024-08-31 22:59:54,816,5807,1237,1039,1325,594,5060,-3,49,747
2024-08-31 19:29:48,868,6398,1842,1130,1326,371,5602,11,52,796
2024-08-31 16:59:41,877,5739,1230,942,1302,943,5773,426,50,-33
2024-08-31 14:29:33,799,5215,986,931,1292,938,5845,850,45,-629
2024-08-31 12:00:36,792,5146,939,942,1294,693,5621,912,46,-474
2024-08-31 09:17:49,894,5469,1226,1108,1322,528,5535,400,50,-65
2024-08-31 06:46:42,835,5169,1573,1126,1339,613,5537,-2,51,-367
2024-08-31 04:18:21,785,5049,903,1008,1333,1361,5448,2,53,-398
2024-08-31 01:46:25,824,5304,924,1062,1322,1159,5343,-3,53,-39
2024-08-30 23:17:30,856,6072,1044,977,1328,883,5146,-3,53,926
2024-08-30 14:25:42,956,6283,1256,1063,1301,843,6052,582,49,231
2024-08-30 11:57:37,796,6229,1036,904,1284,1057,5823,693,50,405
2024-08-30 09:16:52,1002,6599,1393,1137,1333,506,5696,262,54,903
2024-08-30 06:38:24,921,5616,1083,1063,1340,831,5307,10,54,308
2024-08-30 04:07:26,849,5198,1050,1083,1340,1078,5458,-3,52,-259
2024-08-30 01:38:51,870,5303,944,1039,1323,1039,5266,-2,52,37
2024-08-29 23:08:24,899,6078,1073,956,1321,808,5114,-2,54,963
2024-08-29 19:25:29,862,6768,1470,1044,1322,605,5387,26,54,1381
2024-08-29 16:54:34,865,6552,1291,1016,1308,597,5600,465,55,952
2024-08-29 14:25:19,804,6335,1146,1009,1270,880,5926,766,49,408
2024-08-29 11:55:22,823,6235,1130,1137,1291,846,5869,589,50,366
2024-08-29 09:26:18,781,6395,1062,1088,1292,953,5704,472,54,691
2024-08-29 06:55:47,804,5815,742,1056,1316,801,4776,3,51,1039
2024-08-29 04:25:44,715,5373,1055,1178,1307,667,4972,-3,51,400
2024-08-29 01:55:39,742,5476,806,1133,1050,653,4433,-3,51,1042
2024-08-28 23:25:23,1031,6208,1059,1144,734,638,4658,-3,51,1549
2024-08-28 19:55:45,1064,7286,1837,1307,687,671,5624,0,52,1661
2024-08-28 17:25:17,1039,6975,1341,1246,682,581,5224,270,51,1750
