date,carbune,consum,hidro,hidrocarburi,nuclear,eolian,productie,fotovolt,biomasa,sold
2024-09-01 23:56:30,778,5073,1056,1022,1330,267,4500,-2,47,572
2024-09-01 23:25:20,833,5407,1138,1038,1328,233,4616,-2,47,790
2024-09-01 22:55:27,777,5515,1303,1051,1327,187,4693,-2,49,821
2024-09-01 22:25:33,845,5772,1320,1072,1329,166,4780,-1,48,991
2024-09-01 21:58:34,783,6006,1394,1069,1327,165,4785,-1,47,1220
2024-09-01 21:25:28,832,6180,1390,1079,1322,170,4864,-1,50,1315
2024-09-01 20:38:27,863,6214,1438,1078,1323,186,4959,-1,49,1255
2024-09-01 19:59:29,858,5984,1446,1069,1328,211,4961,0,48,1023
2024-09-01 19:30:41,843,5840,1396,1070,1323,182,4890,20,48,949
2024-09-01 18:59:25,855,5720,1362,1029,1330,232,4949,92,47,770
2024-09-01 18:29:40,803,5550,1294,977,1330,288,4931,188,48,618
2024-09-01 17:59:34,826,5420,1257,966,1322,304,5028,300,49,392
2024-09-01 17:29:27,739,5279,1039,942,1326,355,4820,369,47,458
2024-09-01 16:59:17,764,5159,930,949,1327,370,4849,460,45,310
2024-09-01 16:31:36,715,4989,871,933,1326,399,4773,478,47,216
2024-09-01 16:00:18,755,4942,847,752,1326,381,4710,602,43,232
2024-09-01 15:29:24,735,4740,769,742,1324,345,4690,727,45,50
2024-09-01 14:59:45,762,4623,737,749,1324,346,4746,780,45,-123
2024-09-01 14:30:35,721,4510,738,741,1325,375,4749,802,45,-239
2024-09-01 13:59:47,708,4440,593,734,1326,527,4779,844,44,-338
2024-09-01 13:29:24,708,4514,571,732,1326,613,4834,836,46,-319
2024-09-01 12:59:39,707,4425,671,729,1326,588,4882,815,45,-457
2024-09-01 12:29:20,715,4436,669,668,1320,444,4704,840,45,-268
2024-09-01 11:59:19,717,4460,612,682,1328,503,4709,820,45,-248
2024-09-01 11:29:33,713,4429,560,676,1322,571,4679,789,45,-250
2024-09-01 10:59:50,730,4417,745,757,1328,639,4945,697,46,-527
2024-09-01 10:29:28,760,4520,736,748,1325,628,4865,620,45,-344
2024-09-01 10:00:45,746,4673,743,774,1329,652,4786,490,46,-113
2024-09-01 09:29:22,750,4661,709,763,1324,640,4616,380,46,45
2024-09-01 09:00:25,797,4774,772,786,1327,688,4725,307,46,48
2024-09-01 08:29:25,829,4911,818,797,1323,751,4770,203,47,140
2024-09-01 07:59:27,828,4694,976,796,1327,696,4759,88,45,-65
2024-09-01 07:29:35,840,4791,973,817,1329,735,4776,31,46,14
2024-09-01 06:59:24,821,4702,988,807,1327,726,4719,1,45,-16
2024-09-01 06:29:26,872,4701,963,810,1326,748,4765,-3,48,-63
2024-09-01 05:59:19,868,4734,823,1037,1325,673,4771,-3,46,-37
2024-09-01 05:30:27,919,4715,758,1029,1328,698,4778,-3,48,-63
2024-09-01 05:00:31,825,4654,742,1030,1325,629,4599,-3,48,55
2024-09-01 04:29:40,807,4668,741,1031,1325,651,4602,-3,47,65
2024-09-01 03:59:30,818,4683,936,1058,1325,633,4817,-3,48,-134
2024-09-01 03:29:44,832,4759,937,1069,1323,633,4840,-3,48,-81
2024-09-01 02:59:18,800,4740,938,1049,1324,672,4830,-3,47,-90
2024-09-01 02:29:46,842,4825,988,1069,1327,599,4872,-3,47,-46
2024-09-01 01:59:25,839,4895,991,1067,1325,588,4863,3,48,31
2024-09-01 01:30:43,840,4965,993,1069,1326,604,4877,-3,47,87
2024-09-01 00:59:24,832,5093,1043,1039,1327,698,4988,-3,51,104
2024-09-01 00:30:50,874,5226,1073,1065,1333,726,5121,-3,51,104
2024-08-31 23:59:38,828,5385,1045,1009,1327,709,4967,-3,50,418
2024-08-31 23:29:24,830,5617,1193,1008,1330,638,5049,-3,50,567
2024-08-31 22:59:54,816,5807,1237,1039,1325,594,5060,-3,49,747
2024-08-31 22:29:26,820,6117,1306,1042,1330,675,5223,-3,51,893
2024-08-31 22:00:44,829,6284,1470,1116,1329,637,5422,-3,53,862
2024-08-31 21:09:30,834,6620,1409,1130,1330,523,5295,-3,52,1324
2024-08-31 19:59:41,834,6470,1753,1122,1325,423,5510,-1,52,960
2024-08-31 19:29:48,868,6398,1842,1130,1326,371,5602,11,52,796
2024-08-31 19:00:48,889,6280,1688,1119,1327,339,5476,60,51,804
2024-08-31 18:29:29,875,6226,1462,1084,1328,427,5365,135,52,860
2024-08-31 18:00:42,891,6046,1437,963,1332,586,5481,221,49,565
2024-08-31 17:30:36,904,5890,1267,952,1318,766,5549,286,51,341
2024-08-31 16:59:41,877,5739,1230,942,1302,943,5773,426,50,-33
2024-08-31 16:30:37,836,5590,1137,944,1304,1045,5847,530,48,-256
2024-08-31 15:59:40,834,5460,1122,987,1325,1081,6007,609,47,-547
2024-08-31 15:29:39,786,5337,994,984,1322,1025,5825,665,46,-487
2024-08-31 14:59:46,785,5394,943,928,1320,1013,5843,805,45,-448
2024-08-31 14:29:33,799,5215,986,931,1292,938,5845,850,45,-629
2024-08-31 14:00:29,785,5196,862,930,1283,939,5756,907,47,-559
2024-08-31 13:30:32,782,5199,865,795,1324,962,5721,943,47,-521
2024-08-31 13:00:24,731,5095,801,910,1326,902,5743,1024,47,-648
2024-08-31 12:29:44,787,5111,869,926,1288,789,5682,972,48,-571
2024-08-31 12:00:36,792,5146,939,942,1294,693,5621,912,46,-474
2024-08-31 11:29:26,793,5078,959,941,1312,542,5463,867,46,-384
2024-08-31 10:59:29,785,5155,1066,968,1325,510,5513,810,46,-357
2024-08-31 10:29:29,815,5205,1071,972,1311,544,5505,743,46,-300
2024-08-31 09:59:49,848,5413,1098,1082,1316,549,5574,628,49,-160
2024-08-31 09:17:49,894,5469,1226,1108,1322,528,5535,400,50,-65
2024-08-31 08:47:48,839,5454,1278,1096,1340,575,5453,274,49,1
2024-08-31 08:16:21,907,5471,1480,1111,1337,587,5629,153,51,-157
2024-08-31 07:47:43,881,5299,1443,1112,1339,569,5450,53,51,-151
2024-08-31 07:16:20,923,5239,1478,1122,1334,580,5508,11,51,-268
2024-08-31 06:46:42,835,5169,1573,1126,1339,613,5537,-2,51,-367
2024-08-31 06:17:34,878,5183,1468,1129,1341,787,5655,-3,54,-471
2024-08-31 05:48:27,836,5092,1109,1120,1333,921,5374,-3,53,-282
2024-08-31 05:17:36,871,5110,1001,1051,1335,1111,5426,-3,55,-316
2024-08-31 04:47:52,784,4950,926,1042,1335,1240,5380,-3,53,-429
2024-08-31 04:18:21,785,5049,903,1008,1333,1361,5448,2,53,-398
