date,carbune,consum,hidro,hidrocarburi,nuclear,eolian,productie,fotovolt,biomasa,sold
2025-02-01 12:46:26,788,6364,1122,1750,1344,454,6033,513,59,330
2025-02-01 12:38:40,808,6416,1122,1750,1371,459,6061,491,58,354
2025-02-01 12:30:27,826,6412,1121,1747,1370,448,6069,494,59,343
2025-02-01 12:25:35,844,6494,1120,1751,1368,452,6079,482,59,414
2025-02-01 12:17:18,850,6502,1126,1761,1368,442,6035,430,60,467
2025-02-01 12:08:31,845,6505,1118,1748,1369,425,6017,448,59,487
2025-02-01 11:59:16,785,6532,1128,1746,1372,449,5956,413,59,576
2025-02-01 11:55:25,787,6565,1130,1746,1373,439,5947,412,58,617
2025-02-01 11:46:06,814,6648,1129,1748,1375,442,5965,395,59,683
2025-02-01 11:38:26,843,6626,1146,1747,1371,413,5959,378,58,666
2025-02-01 11:30:41,845,6647,1147,1749,1369,419,5953,353,59,693
2025-02-01 11:25:16,844,6777,1146,1746,1372,411,5912,332,58,865
2025-02-01 11:16:24,843,6666,1144,1756,1373,399,5913,323,58,753
2025-02-01 11:08:16,869,6715,1145,1754,1372,401,5917,313,59,798
2025-02-01 10:59:29,843,6869,1121,1753,1368,403,5842,291,59,1026
2025-02-01 10:55:32,838,6805,1114,1738,1374,403,5808,280,59,996
2025-02-01 10:46:42,855,6852,1126,1753,1373,392,5831,268,60,1020
2025-02-01 10:38:06,900,6924,1176,1757,1371,384,5920,269,60,1003
2025-02-01 10:30:21,895,6945,1191,1753,1372,369,5906,262,60,1039
2025-02-01 10:28:13,893,6988,1205,1754,1375,369,5917,257,60,1070
2025-02-01 10:19:27,896,6820,1158,1755,1374,370,5871,253,61,948
2025-02-01 10:11:13,890,6821,1213,1748,1372,344,5884,236,59,937
2025-02-01 10:01:18,895,6885,1232,1759,1356,318,5846,213,58,1038
2025-02-01 09:49:16,898,6917,1208,1759,1338,300,5789,199,59,1127
2025-02-01 09:41:35,894,6890,1197,1756,1338,303,5754,188,58,1136
2025-02-01 09:32:42,889,6910,1189,1754,1332,304,5710,157,58,1199
2025-02-01 09:26:37,888,6869,1133,1757,1337,288,5628,138,59,1240
2025-02-01 09:18:34,894,6794,1161,1757,1333,281,5632,119,59,1161
2025-02-01 09:09:37,902,6839,1106,1763,1339,268,5563,99,59,1276
2025-02-01 08:59:23,893,6787,1147,1762,1342,263,5571,77,60,1215
2025-02-01 08:55:33,882,6746,1115,1760,1337,256,5502,66,60,1244
2025-02-01 08:46:41,883,6651,1105,1763,1370,233,5492,52,59,1158
2025-02-01 08:38:28,857,6689,1026,1761,1383,222,5372,40,57,1316
2025-02-01 08:22:32,862,6504,1033,1763,1386,241,5381,14,57,1123
2025-02-01 08:12:11,856,6497,1050,1766,1384,263,5410,7,57,1086
2025-02-01 07:59:34,886,6325,1048,1764,1381,249,5394,2,57,930
2025-02-01 07:56:17,889,6300,1049,1764,1387,241,5396,0,57,903
2025-02-01 07:47:31,895,6352,1072,1763,1381,233,5407,-1,57,944
2025-02-01 07:38:41,846,6221,1030,1762,1387,227,5315,-1,57,905
2025-02-01 07:30:27,840,6100,1027,1766,1381,219,5291,-1,56,809
2025-02-01 07:25:33,861,6041,1028,1766,1385,218,5316,-2,56,725
2025-02-01 07:17:42,840,6075,1028,1764,1381,223,5299,-2,56,776
2025-02-01 07:08:31,843,6082,1028,1757,1383,216,5283,-2,57,798
2025-02-01 06:59:14,797,5972,1114,1753,1386,193,5298,-2,57,673
2025-02-01 06:56:30,785,5945,1062,1764,1381,185,5235,-2,58,710
2025-02-01 06:47:41,803,5915,1061,1761,1388,180,5251,-2,59,664
2025-02-01 06:38:23,809,5995,1058,1764,1381,171,5241,-2,57,754
2025-02-01 06:30:41,821,5894,1059,1759,1379,156,5229,-2,56,665
2025-02-01 06:25:13,828,5955,1141,1764,1380,146,5315,-2,56,639
2025-02-01 06:17:33,829,5919,1088,1766,1384,150,5275,-2,57,644
2025-02-01 06:08:14,780,5777,1059,1772,1382,149,5200,-2,58,576
2025-02-01 05:59:28,800,5682,1057,1753,1383,143,5193,-2,58,488
2025-02-01 05:55:33,835,5749,1058,1762,1388,145,5247,-2,58,502
2025-02-01 05:46:41,830,5783,1090,1766,1381,134,5265,0,59,517
2025-02-01 05:38:05,820,5691,1077,1763,1381,121,5221,-2,57,469
2025-02-01 05:30:20,832,5764,1126,1763,1382,119,5292,-2,58,471
2025-02-01 05:26:29,836,5759,1127,1765,1383,121,5306,-2,57,453
2025-02-01 05:17:15,837,5644,1108,1763,1383,117,5267,-2,56,377
2025-02-01 05:08:28,830,5626,1089,1760,1387,124,5249,-2,57,376
2025-02-01 04:59:39,792,5660,1057,1758,1380,126,5170,-2,56,489
2025-02-01 04:56:22,808,5607,1058,1764,1381,130,5197,-2,57,409
2025-02-01 04:47:04,818,5619,1057,1763,1385,125,5204,-2,57,414
2025-02-01 04:39:22,802,5664,1056,1764,1379,128,5185,-2,57,479
2025-02-01 04:29:27,817,5602,1055,1760,1378,131,5198,-2,56,404
2025-02-01 04:25:08,835,5678,1070,1762,1376,139,5239,-2,56,439
2025-02-01 04:17:24,839,5660,1090,1759,1379,137,5250,-2,56,409
2025-02-01 04:08:08,832,5553,1069,1767,1379,141,5244,-2,55,309
2025-02-01 04:00:24,824,5680,1076,1757,1381,138,5230,-2,54,450
2025-02-01 03:55:28,803,5642,1056,1758,1385,141,5196,-2,53,445
2025-02-01 03:46:08,762,5575,1057,1751,1381,151,5155,-2,53,419
2025-02-01 03:38:28,768,5534,1057,1753,1381,148,5160,-2,53,374
2025-02-01 03:30:35,780,5605,1057,1756,1385,145,5177,-2,54,427
2025-02-01 03:25:37,793,5672,1058,1759,1383,140,5187,-2,54,485
2025-02-01 03:16:31,794,5676,1056,1756,1380,143,5171,-2,54,505
2025-02-01 03:08:18,818,5770,1077,1752,1383,145,5229,-2,53,540
2025-02-01 03:00:37,780,5714,1054,1755,1382,142,5167,-2,54,546
2025-02-01 02:55:41,781,5647,1056,1750,1377,134,5151,-2,52,496
2025-02-01 02:46:22,783,5726,1057,1755,1378,135,5164,-2,56,561
2025-02-01 02:38:09,778,5614,1055,1754,1383,138,5164,-2,56,449
2025-02-01 02:29:37,782,5669,1055,1745,1379,131,5148,-2,56,520
2025-02-01 02:25:32,799,5753,1057,1756,1382,124,5175,-2,55,577
2025-02-01 02:16:12,782,5853,1056,1753,1378,129,5156,-2,56,697
2025-02-01 02:08:30,781,5747,1057,1782,1375,131,5181,-2,55,565
2025-02-01 01:59:40,781,5824,1067,1776,1384,127,5195,-2,56,629
2025-02-01 01:55:22,781,5879,1068,1776,1375,128,5185,-2,56,694
2025-02-01 01:47:36,759,5802,1067,1769,1382,137,5170,-2,56,631
2025-02-01 01:38:36,786,5796,1068,1775,1381,130,5198,-2,57,598
2025-02-01 01:30:37,812,5889,1066,1775,1380,125,5217,-2,56,671
2025-02-01 01:25:13,790,5867,1066,1777,1384,125,5201,-2,55,665
2025-02-01 01:16:26,805,5816,1072,1787,1382,124,5230,-2,56,585
2025-02-01 01:08:13,828,5878,1097,1786,1381,125,5276,-2,56,602
2025-02-01 01:00:24,825,5966,1139,1788,1386,129,5314,-2,56,651
2025-02-01 00:55:04,829,5990,1159,1788,1384,136,5350,-2,58,639
2025-02-01 00:47:37,818,5979,1161,1787,1381,143,5347,-2,57,631
2025-02-01 00:38:04,846,6084,1159,1794,1384,144,5384,-2,57,700
2025-02-01 00:30:23,822,6114,1153,1764,1380,137,5319,-2,58,795
2025-02-01 00:26:33,827,6033,1152,1771,1385,134,5331,-1,57,702
2025-02-01 00:17:15,836,6081,1229,1760,1384,116,5405,-1,57,676
2025-02-01 00:00:38,798,6053,1180,1726,1383,90,5245,-2,58,807
2025-01-31 23:56:23,816,6094,1242,1724,1385,82,5311,-2,59,782
2025-01-31 23:47:03,816,6224,1245,1724,1381,90,5321,-1,58,903
2025-01-31 23:38:17,808,6296,1246,1716,1385,83,5298,-1,57,997
2025-01-31 23:30:04,820,6345,1243,1721,1383,84,5309,-1,57,1035
2025-01-31 23:25:08,820,6384,1246,1724,1384,79,5309,-1,56,1075
2025-01-31 23:17:27,822,6420,1243,1726,1384,77,5312,-1,58,1108
2025-01-31 23:08:32,794,6517,1244,1734,1377,81,5293,-1,57,1223
2025-01-31 22:59:37,737,6526,1459,1647,1383,82,5366,-1,58,1159
2025-01-31 22:55:31,735,6592,1492,1715,1385,82,5469,-1,59,1122
2025-01-31 22:47:40,742,6730,1496,1719,1378,78,5476,-1,59,1254
2025-01-31 22:38:21,784,6744,1490,1728,1382,68,5512,-1,59,1232
2025-01-31 22:29:10,782,6789,1499,1728,1383,61,5512,-1,59,1276
2025-01-31 22:25:37,779,6944,1490,1724,1381,54,5491,-1,59,1452
2025-01-31 22:17:06,780,6905,1499,1717,1382,56,5492,-1,58,1413
2025-01-31 22:08:19,771,6987,1490,1714,1385,57,5477,-1,59,1509
2025-01-31 22:00:05,793,7187,1561,1616,1379,55,5472,-1,59,1715
2025-01-31 21:56:15,810,7223,1556,1604,1383,50,5464,-1,60,1758
2025-01-31 21:48:34,823,7240,1558,1688,1385,57,5588,-1,60,1651
2025-01-31 21:39:14,804,7347,1482,1699,1384,57,5503,-1,60,1844
2025-01-31 21:30:21,804,7404,1481,1691,1378,53,5485,-1,60,1919
2025-01-31 21:26:04,815,7479,1483,1704,1382,51,5520,-1,59,1958
2025-01-31 21:16:12,808,7537,1487,1687,1383,50,5493,-1,59,2043
2025-01-31 21:08:26,801,7560,1487,1695,1385,54,5504,-1,59,2056
2025-01-31 20:59:39,803,7719,1542,1675,1382,52,5539,-1,59,2180
2025-01-31 20:55:20,803,7688,1532,1677,1385,50,5525,-1,60,2162
2025-01-31 20:47:36,803,7700,1532,1679,1378,49,5524,-1,59,2176
