date,carbune,consum,hidro,hidrocarburi,nuclear,eolian,productie,fotovolt,biomasa,sold
2021-12-31 14:46:58,1087,7178,1920,1136,1395,1105,6819,109,67,335
2021-12-31 02:46:58,1086,5682,1506,1110,1418,1028,6212,-1,65,-555
2021-12-30 14:39:04,1314,7672,2185,1806,1371,341,7137,49,71,535
2021-12-30 02:39:16,1224,5976,1502,1238,710,1950,6691,-1,68,-690
2021-12-29 14:30:37,1229,7826,2514,1859,1349,70,7103,36,75,747
2021-12-29 02:29:57,1190,5909,1303,1469,1418,31,5479,-1,69,420
2021-12-28 14:30:27,1245,7920,2083,1818,1357,104,6721,42,72,1174
2021-12-28 02:30:14,1204,5807,1365,1561,1414,455,6064,-1,65,-282
2021-12-27 14:30:26,1212,7610,1721,1801,1417,1692,7933,18,71,-297
2021-12-27 02:29:57,1217,5583,958,1403,1412,1346,6400,0,64,-842
2021-12-26 14:30:50,1205,6318,1126,1844,1412,342,6030,37,65,264
2021-12-26 01:48:45,985,5377,854,1277,1414,1381,5974,0,63,-622
2021-12-25 09:00:50,1075,6071,1330,1230,1415,2068,7213,26,69,-1126
2021-12-24 16:44:23,1360,7994,1450,1810,1402,2464,8566,1,77,-547
2021-12-24 00:38:45,1195,6777,944,1322,1405,2190,7128,0,73,-370
2021-12-23 09:10:30,1346,8717,1788,1902,1396,126,6718,83,77,1975
2021-12-22 18:40:15,1351,9137,2319,1907,1400,113,7168,0,79,1944
2021-12-22 05:30:38,1238,6731,1646,1901,1411,155,6388,0,68,326
2021-12-21 17:29:57,1262,9242,2714,1904,1412,500,7874,0,82,1393
2021-12-21 05:18:27,1231,6599,1466,1695,1413,905,6783,0,73,-209
2021-12-20 17:17:28,1233,8854,2292,1831,1342,600,7381,4,79,1472
2021-12-20 05:17:40,1080,6167,1231,1300,1421,675,5760,0,69,432
2021-12-19 17:16:57,841,7768,1990,1516,1420,1781,7618,0,70,125
2021-12-19 05:17:27,1110,6173,1387,815,1421,643,5440,0,65,708
